	Si+	C_7H_7+	C_6H_10NO+	C_6H_10N_3+
	27.9727	91.0573	112.0785	124.0776
571.8016	14.012	1196.45	16619.5	8382.45	
575.0784	18.0176	1228.18	16178.4	8387.9	
578.3552	19.0145	1179.33	16243.4	8309.95	
581.6320	15.0151	1184.03	16416.1	8382.49	
584.9088	10.0098	1173.82	16516	8248.83	
588.1856	11.0091	1107.86	16415.5	8266.06	
591.4624	18.0187	1127.31	16409.6	8347.08	
594.7392	15.016	1156.08	16111.2	8100.03	
598.0160	16.0137	1143.26	16352.9	8310.99	
601.2928	10.0088	1192.16	16275.9	8514.63	
604.5696	20.022	1177.36	16151.9	8381.41	
607.8464	10.0057	1170.85	16336.7	8381.66	
611.1232	14.0231	1183.42	16445	8261.36	
614.4000	12.0088	1146.12	16546	8239.73	
617.6768	14.0111	1178.45	16349	8354.15	
620.9536	19.0203	1145.06	16647.6	8388.43	
624.2304	17.0213	1137.49	16378.4	8231.03	
627.5072	18.0209	1180.33	16554.7	8331.4	
630.7840	11.0145	1234.45	16391.4	8178.43	
634.0608	14.0137	1269.66	16429	8377.02	
637.3376	16.0166	1209.54	16377.2	8457.4	
640.6144	12.0153	1227.83	16610.6	8298.95	
643.8912	16.013	1170.49	16461.6	8145.05	
647.1680	13.0107	1143.42	16196.3	8354.86	
650.4448	16.0179	1192.06	16668.7	8314.35	
653.7216	11.0124	1125.63	16656.7	8529.84	
656.9984	10.0104	1095.38	16212.6	7957.98	
660.2752	19.018	1232.88	16286.6	8205.95	
663.5520	24.0382	1166.44	16466.8	8406.55	
666.8288	13.0171	1151.23	16248.8	8511	
670.1056	21.025	1136.19	16382.4	8463.47	
673.3824	15.0133	1182.24	16289.7	8325.86	
676.6592	26.0381	1143.95	16452.7	8339.87	
679.9360	14.0111	1225.84	16518.4	8104.16	
683.2128	11.0091	1199.95	16439.4	8185.48	
686.4896	18.0231	1141.43	16397.5	8444.32	
689.7664	10.0092	1181.94	16400.5	8411.1	
693.0432	16.0147	1174.58	16021.1	8416.91	
696.3200	14.012	1121.32	16326.4	8368.1	
699.5968	12.0117	1194.91	16036.3	8367.45	
702.8736	15.0155	1170.16	16443.3	8515.23	
706.1504	18.0187	1143.79	16163.7	8326.86	
709.4272	19.018	1143	16267.5	8320.54	
712.7040	13.0083	1178.33	16322.9	8638.2	
715.9808	9.01073	1228.86	16418.6	8409.7	
719.2576	12.0103	1212.16	16243.6	8480.51	
722.5344	12.0081	1216.92	16471.2	8362.81	
725.8112	9.00412	1166.86	16090.5	8548.84	
729.0880	17.0161	1172.91	16373.4	8329.8	
732.3648	17.0161	1176.28	16194.9	8418.18	
735.6416	16.0205	1141.1	16168.2	8273.61	
738.9184	11.0064	1196.06	16602.5	8555.12	
742.1952	10.0086	1131.48	16423.6	8340.12	
745.4720	12.0115	1198.93	16032.9	8389.08	
748.7488	11.0104	1198.49	16311.3	8348.79	
752.0256	10.0102	1264.95	16391.1	8212.3	
755.3024	18.0209	1197.76	16508.1	8132.63	
758.5792	11.0104	1211.61	16307.6	8135.81	
761.8560	16.0176	1246.29	16196.2	8235.06	
765.1328	16.0186	1229.51	16388.7	8302.05	
768.4096	13.0139	1230.11	16127.2	8562.88	
771.6864	14.0094	1202.84	16237	8468.63	
774.9632	13.0091	1212.07	16348.8	8575.13	
778.2400	9.0084	1209.9	16442.6	8489.5	
781.5168	11.0091	1269.42	16442.6	8205.16	
784.7936	14.012	1183.07	16144.2	8364.52	
788.0704	10.0092	1317.14	16412.7	8296.64	
791.3472	14.012	1176.32	16435.2	8341.97	
794.6240	20.022	1141.66	16462.2	8282.44	
797.9008	18.0253	1212.54	15956.8	8323.04	
801.1776	12.0117	1176.89	16249.6	8239.86	
804.4544	15.0146	1312.74	16655.2	8406.89	
807.7312	20.022	1188.05	16415.7	8486.7	
811.0080	23.0246	1189.49	16375.7	8221.89	
814.2848	12.0095	1202.84	16135.4	8389.65	
817.5616	13.0135	1201.83	16457.7	8325.22	
820.8384	10.0067	1217.06	16570.4	8360.13	
824.1152	10.0086	1233.32	16363.9	8564.34	
827.3920	13.0127	1218.44	16584	8554.1	
830.6688	7.00577	1181.71	16165	8421.34	
833.9456	9.00742	1207.7	16142.8	8353.46	
837.2224	11.0091	1233.42	16491.9	8472.33	
840.4992	7.00553	1210.8	16251.3	8368.86	
843.7760	10.0073	1242.64	16183.1	8391.57	
847.0528	10.0086	1330.97	16267.7	8532.46	
850.3296	9.00724	1206.75	16638	8550.86	
853.6064	12.0095	1231.16	16355.6	8517.5	
856.8832	14.0145	1273.22	16089.9	8314.11	
860.1600	11.005	1233.77	16119.8	8322.31	
863.4368	10.0079	1181.83	16194.6	8587.5	
866.7136	14.012	1227.97	16475.8	8478.34	
869.9904	3.00119	1247.18	16384.4	8224.79	
873.2672	8.00635	1233.28	16119.8	8300.12	
