time	total	12	13	16	17	19	24	25	26	27	27.9	28	31	32	35	35	36	37	38	39.01	39.02	40	40	41	42	43	44	44	45	48	49	50	50	51	52	52	53	53	55	56.1	57	57	58	59	59	60	60	61	62	63	64	64	65	65	66	67	68	68.1	69	69	70	71	72	73	74	75	76	77	77	77	78	78	79	79.1	80.1	81	84	85	86	87	89	89	91	95	96	97	98	103	103.1	108	109	111	113	115	115.1	117	119	121	129	129.1	133.1	135.9	141	145.1	148.1	149.1	157.1	159.1	162.1	163.1	167	175.1	181.1	188.1	189.1	199.1	205.2	215.1	231.2	245.2	257.2	277.2	296	302.2	316.2	330.2	344.2	358.3	373.3	401.3	417.3	429.3	455.3	465.3	523.3	563.4	579.4	607.4	619.4	635.5	915.6	1063.7	1119.7	1175.8
18	2.88E+06	21999.9	54234.3	26134.2	45964.6	1092.16	24505.4	115648	129490	1520.38	7.00032	1938.3	99.034	97.0232	309.193	39.0492	7701.27	6253.61	5572.05	3812.01	6408.18	2564.13	20694.9	124356	173398	9015.01	180.104	2303.36	491.581	7122.93	37039.4	9195.33	3967.63	5137.47	1561.98	2408.79	1115.98	464.807	724.707	707.107	1872.58	1051.22	3222.8	2260.03	2564.24	269.176	3620.02	5052.49	7216.72	5886.15	932.408	3212.93	11846.5	4564.57	3224.45	2008.22	1297.8	1967.74	416.476	455.507	7333.59	766.483	2694.07	15211.1	4953.81	3005.37	68.0196	104.036	670.407	690.722	68.0154	1108.27	1030.98	756.545	618.156	4599.47	1424.38	2281.33	4265.07	3934.12	3421.08	2538.82	2508.17	168.124	874.417	5261.51	1689.32	531.073	644.66	394.622	732.98	1622.67	1393.98	1199.14	899.354	1671.46	2329.35	1345.79	691.144	636.373	1381.21	27.0093	804.411	1372.38	539.674	1371.51	3062.69	6366.74	534.125	493.197	3333.26	15065.1	646.822	1386.05	4064.11	7456.77	8349.88	21222.6	197127	3765.61	1323.03	5317.05	3337.67	2021.25	2222.68	1896.79	3564.93	1617.08	1834.27	1253.45	1516	1882.05	203.185	174.156	572.242	912.156	7461.54	292.462	5291.52	111195	22.0048	25.0036	9.00066	12.0011
20	2.88E+06	21282.6	53491.3	26633.5	46278.3	1749.46	23703	113393	121690	1679.04	3.00021	1863.84	122.046	86.0194	1192.91	113.549	7428.81	6234.75	5458.95	3594.54	6252.97	2514.5	19625.7	125078	161546	9049.66	213.16	2074.71	1122.94	6750.7	35946.7	8911.51	3687.58	4968.34	1510.04	2290.52	1177.49	537.463	1040.29	657.729	1628.36	1036.7	3698.95	7920.11	5536.95	331.296	3663.15	4840.33	7074.46	5608.48	969.875	2817.44	11679.3	4384.29	3073.03	1809.39	1118.93	1917.9	645.085	547.456	6705.29	2019.63	2618	14303.3	4784.79	2968.53	67.0229	120.041	607.273	642.391	72.0199	1047.14	970.043	751.685	637.155	4456.1	1421.56	2105.77	4273.21	3738.13	3385.42	2355.25	2424.57	191.153	878.613	5014.84	1649.57	506.091	573.38	420.671	772.305	1583.9	1314.6	1252.6	883.499	1852.93	2233.16	1296.63	771.934	590.591	1356.43	39.013	838.557	1366.9	544.969	1360.55	2914.56	6460.7	564.458	485.488	4959.02	14713.8	628.024	1265.09	3961.58	7334.64	8211.94	20964.1	191396	3674.53	1538.78	8094.31	5420.14	1913.29	1979.29	1699.61	3392.98	1496.46	1665.96	1186.12	1465.93	1913.26	225.21	135.106	571.352	807.561	7247.54	268.413	5167.35	108245	32.0086	33.006	29.0059	82.0245
22	2.90E+06	20885.2	50520.9	29845.5	47923.8	2040.3	23599.5	113610	80495.7	2713.32	3.00014	1222.27	239.147	111.032	2175.06	271.351	7408.17	6416.51	5709.07	2828.31	6655.21	2449.77	12324.1	150404	103482	10357.6	387.389	1449	5913.35	7184.81	39279.5	6242.85	4113.56	5793.86	1451.14	1696.55	1631.05	762.617	3820.84	393.225	1188.45	1300.02	6076.23	42284.9	27830.3	286.27	3720.73	5268.72	7761.72	6167.72	762.715	2007.13	12538.3	4673.14	2287.92	2374.01	794.759	1192.19	2176.6	1605.57	4214.92	10954.2	2947.19	17306.5	4488.81	3626.13	63.0209	119.041	732.564	885.108	60.0146	1122.28	1295.8	855.388	406.157	4967.32	1592.51	2744.63	4584.15	4586.6	3845.7	2658.42	2803.11	686.296	1000.02	6239.47	1747.53	628.474	776.695	437.739	901.686	1798.82	1568.18	1391.34	987.865	2168.93	2877.92	1724.9	833.089	730.566	1688.03	32.0126	871.856	1612.63	933.501	1750.73	3132.9	7544.26	696.08	613.754	5311.27	16957.6	668.532	1569.85	4261.89	7516.31	9095.71	21047.3	179596	3890.67	3865.32	15851	6374.08	1309.25	1337.8	1185.73	2374.1	1075.2	1291.52	912.357	1392.71	1348.84	162.117	148.103	389.619	609.469	5107.85	293.493	3823.24	77230.6	225.216	204.181	454.844	1202.51
24	2.78E+06	20540.5	48297.3	36967.3	51671.2	836.175	24195.5	118744	24359.9	4325.06	1.00003	373.277	386.335	201.085	568.607	64.1478	7661.54	7261.17	6353.22	1380.98	7319.56	2847.9	3573.22	189256	30028.8	12502.5	629.904	495.94	12381.3	7684.76	45208.2	2780.89	4495.77	6797.97	1652.73	707.352	2440.29	975.515	7969.4	113.227	509.01	1551.06	10416.6	78870	59133.5	165.194	4177.64	6090.48	8842.53	6954.09	751.394	812.841	14659.5	4970.62	1121.09	3041.64	339.365	347.877	4508.08	2982.18	1374.05	22939.6	3251.35	20790.9	4138.23	4336.82	40.0099	111.038	929.283	1127.84	24.0044	1191.18	1523.42	1002.14	179.378	5469.31	1866.26	3410.62	5271.36	5181.17	4492.31	2917	3305.48	1309.04	1178.89	7615.38	1662.98	690.523	912.569	510.92	1132.66	1950.91	1737.99	1385.97	1200.46	2131.85	3623.37	2232.59	892.631	873.083	1890.14	27.011	1007.18	1843.66	1467.74	2277.56	3375.13	9385.51	1013.06	818.848	1956.21	21039.3	775.342	2013.94	5195.83	8492.92	11246.7	23055.4	170016	4222.35	7116.05	27126.8	2640.78	396.572	447.596	415.507	731.341	370.393	437.62	374.429	590.902	470.807	62.0236	213.131	195.141	225.193	1905.31	363.509	1472.12	24890.4	746.041	720.963	1855.21	4319.86
26	2.67E+06	20638.6	47768.7	38994.1	53585.3	199.067	23570.1	120773	4842.89	4918.38	1.00002	75.0136	463.484	233.109	95.0213	9.00386	7852.96	7266.63	6738.09	985.957	7679.46	3022.53	755.46	204130	7262.65	13457.7	771.348	234.857	14506.4	8010.96	46538.4	1999.87	4027.44	7352.67	1633.62	402.706	2723.63	1185.67	9162.56	45.0821	357.644	1684.47	12023.7	95874.7	64081.8	139.167	4463.37	6410.29	9247.78	6954.16	712.457	693.11	15096.6	5068.77	1001.28	3341.91	206.151	64.0832	5363.5	3471.08	422.222	26767.1	3392.52	21237.8	3956.65	4546.01	49.0131	109.037	977.714	1170.79	28.0066	1300.09	1596.79	972.981	102.209	5582.12	1912.81	3605.63	5555.9	5575.91	4804.33	3043.18	3474.71	1514	1155.07	8111.92	1660.99	746.737	1028.62	598.234	1119.92	1987.93	1890.79	1420.21	1136.2	2201.15	3838.11	2478.49	939.708	865.056	2035.27	32.0128	1017.23	1946.47	1671.64	2318.18	3488.4	9925.07	1019.63	872.045	643.66	21791.6	777.12	2141.72	5285.75	8457.34	12221	23199.6	167541	4119.18	8437.9	33468.8	615.921	132.091	124.076	108.061	163.11	78.036	135.116	126.077	201.141	91.042	46.0124	254.171	83.0269	107.046	417.524	422.565	358.385	3926.2	1064.34	934.375	2679.36	6043.6
28	2.64E+06	20071.3	46464.7	38390.4	52936.6	107.019	22668.7	117751	2156.05	4939.43	2.00006	65.0092	448.489	233.125	79.0151	6.00209	7341.73	6894.51	6384.87	1094.38	7249.39	2905.65	343.023	203081	3881.96	13066.7	796.578	209.795	14174.3	7439.22	44452.1	2206.46	3586.81	7037.61	1539.58	480.309	2803.86	1040.25	8817.54	18.0294	352.64	1621.1	11384.6	101070	61961.4	218.28	4007.56	6258.19	8486.66	6575.92	646.414	859.141	14619.1	4693.53	1135.76	3128.18	152.091	32.0323	5187.67	3367.22	293.785	25841.2	3096.15	19685	3811.17	4195.04	60.0193	135.044	980.954	1026.02	44.0138	1164.75	1494.73	955.876	101.209	5269.96	1807.77	3620.14	5260.75	5561.37	4527.16	2945.68	3132.96	1335.76	1060.95	8006.74	1613.32	714.786	997.609	522.073	1088.31	1918.1	1679.89	1399.55	1042.63	2094.77	3571.68	2347.75	915.738	860.194	1853.65	25.0107	1006.41	1859.37	1497.37	2228.46	3281.44	9351.92	952.083	829.032	482.053	20872.4	708.862	2041.24	5051.51	8323.72	11941.8	22267	163971	3940.74	8635.88	33101.9	293.281	64.0406	46.0188	51.0238	50.0204	26.0081	69.0509	74.036	96.0414	38.0103	23.0051	232.149	72.019	38.0082	84.0316	408.574	78.0311	543.875	1152.21	960.836	2784.51	6435.08
30	2.64E+06	19695.8	46444.2	37588.6	51974.3	127.027	22474.4	117358	1750	4972.27	2.00004	54.0056	450.525	214.106	67.0118	6.00178	7292.97	6883.75	6075.98	1178.91	7176.81	2860.24	248.863	202572	3663.83	12992.5	734.362	219.802	14260.2	7137.15	43463.4	2478.27	3429.79	7012.76	1537.82	432.006	2542.63	1063.03	8536.6	18.0305	477.987	1541.24	10967.7	102291	60859.7	229.295	3934.73	5874.21	8507.76	6326.3	590.44	858.244	14484.6	4848.79	1039.61	2965.54	171.116	21.0215	5156.03	3249.23	273.743	25515.1	2890.74	18857.8	3842.16	3980.46	54.0155	146.061	931.909	1031.24	46.0141	1126.62	1531.66	948.388	81.1608	5158.53	1744.86	3562.48	5187.19	5881.15	4268.76	2796.28	2952.43	1244.54	996.879	7845.82	1612.02	679.786	977.519	501.156	1116.86	1946.86	1669.33	1427.87	999.414	2129.44	3367.79	2238.55	960.889	786.749	1799.61	29.0111	982.383	1846.47	1545.16	2289.29	3239.64	9088.92	946.177	814.865	452.055	20230.5	737.109	1934.9	4916.42	8049.17	11752.9	21518.7	163989	3922.3	8677.53	32568.7	282.275	62.0362	30.0145	36.0143	23.0082	17.0052	61.0451	62.0274	73.0282	34.0081	22.0045	247.175	71.0157	34.006	41.0095	408.608	37.0099	171.093	1270.6	1026.24	2817.55	6478.11
32	2.64E+06	19757.6	45484.6	37995.4	51469.1	107.021	22605.4	116068	1360.08	4915.54	2.00008	47.0061	454.444	231.114	62.0119	6.00192	7284.85	6963.06	6224.93	1071.35	7351.93	2925.72	216.483	200081	3008.14	13253.6	834.523	139.51	14164.5	7505	44831.1	1690.94	4018.6	7051.76	1543.38	372.474	2676.72	1097.46	9295.02	19.0317	289.523	1700.36	11545.8	95617.2	65182.5	224.31	4226.68	6002.01	8802.63	6787.93	709.451	541.317	14557.7	4949.25	811.72	3141.52	167.122	33.0391	5377.01	3523.71	255.672	26363.8	3237.7	20623.8	3747.12	4414.03	67.0211	114.037	1004.78	1095.05	41.0091	1199.59	1493.29	1010.78	106.216	5529.5	1846.75	3651.22	5414.91	5630.61	4828.58	2941.64	3275.69	1400.27	1058.5	7818.47	1682.49	754.796	976.244	553.11	1164.27	1917.57	1725.25	1367.2	1045.2	2205.3	3716.94	2387.52	874.363	831.585	1900.12	24.0083	1026.36	1837.82	1601.1	2299.04	3423.57	9451.47	970.154	786.401	441.95	21113.2	750.966	2053.49	5088.72	8171.6	12027.2	22517.8	164558	3915.97	8458.8	32992.3	286.253	62.037	41.0178	51.0239	26.0104	15.0046	65.0423	64.0284	73.0303	41.0095	18.0038	225.144	55.0122	32.0051	34.0067	430.6	46.0114	181.099	1540.51	1060.34	2812.88	6352.28
34	2.65E+06	19821.4	45900.1	38117.2	52679.2	106.019	23323.3	117208	1202.43	4833.11	2.0001	46.0059	492.48	235.11	91.0177	9.00335	7459.19	6996.6	6567.23	893.599	7403.08	2939.43	215.473	200739	2693.88	13178.6	776.309	133.466	14449.7	7762.62	45905.4	1401.25	4270.18	7150.3	1580.4	382.587	2704.72	1138.22	9589.99	14.0229	266.436	1661.62	12142.3	92306.7	67412.6	161.207	4232.91	6358.07	8967.14	6953.46	755.454	475.972	15162.3	4958.6	699.273	3158.78	142.083	33.0343	5397	3551.25	233.587	26633.4	3215.76	21398.2	3812.87	4449.14	56.018	118.046	1017.91	1178.92	40.0105	1221.73	1592.4	989.237	78.1543	5583.39	1902.66	3638.93	5520.71	5610.62	4881.67	3114	3318.6	1401.14	1187.16	8033.13	1667.09	794.87	1041.86	514.916	1207.54	1917.79	1833.52	1448.38	1113.94	2196.92	3730.83	2387.31	963.526	910.143	1979.34	22.01	1052.36	1959.21	1632.22	2264.35	3497.03	9992.36	1000.99	838.69	411.833	21675	774.008	1989.3	5205.69	8536.23	12015	22669.1	165426	4065.18	8306.81	33658.4	268.239	60.0365	46.0218	51.0244	31.0108	24.007	76.0507	55.0216	77.0323	44.0101	32.0071	228.142	74.018	36.0068	45.0086	500.725	46.0111	267.209	1653.71	1137.59	2875.64	6638.8
36	2.63E+06	20085.2	46186.2	38002.5	52365	99.0171	22696.4	115950	1558.11	4798.73	1.00003	46.0052	476.502	218.104	114.03	6.00275	7368.58	6944.19	6396.95	902.577	7362.67	2839.3	260.877	200506	3423.28	13291.3	817.462	156.564	14671.1	7397.07	44919.7	1656.34	3928.43	7043.96	1613.57	396.679	2822.72	1112.93	9566.96	19.0338	305.51	1643.77	11842.7	95159.8	64602	140.172	4226.89	6140.81	9018.7	6909.36	743.556	572.513	15062.2	4935.64	913.961	3149.32	160.105	40.0432	5450.74	3503.24	267.658	26556.9	3210.48	20827.8	3820.99	4535.52	58.0168	109.038	979.703	1199.04	38.0084	1196.49	1621.59	984.395	82.1652	5558.63	1854.29	3670.13	5482.05	5549.98	4815.75	2918.43	3419.63	1440.47	1096.71	7716.45	1679	726.625	976.182	567.148	1145.1	2007.76	1847.55	1415.26	1070.55	2120.13	3834.42	2401.99	917.605	877.095	2055.83	27.0116	1033.39	1945.7	1637.09	2452.26	3395.02	9660.48	986.234	798.574	409.751	21492	779.093	1968.55	5110.38	8257.35	12010.7	22480.3	163920	4049.77	8642.87	33948.8	279.236	56.0352	34.0147	45.0181	39.0158	25.0085	73.0508	57.0256	76.0324	35.0078	27.0069	230.134	65.016	41.0078	62.0155	430.563	54.0146	449.562	1615.23	1216.16	2902.32	6486.36
